name	symbol_id	start_number
Travel Arm Spiral, Wall Plane Double	02-03-020-02	0x25300
Travel Arm Spiral, Wall Plane Triple	02-03-020-03	0x25400
Diagonal Away Movement Small	02-04-001-01	0x25500
Diagonal Away Movement Medium	02-04-001-02	0x25600
Diagonal Away Movement Large	02-04-001-03	0x25700
Diagonal Away Movement Largest	02-04-001-04	0x25800
Diagonal Towards Movement Small	02-04-002-01	0x25900
Diagonal Towards Movement Medium	02-04-002-02	0x25a00
Diagonal Towards Movement Large	02-04-002-03	0x25b00
Diagonal Towards Movement Largest	02-04-002-04	0x25c00
Diagonal Between Away Small	02-04-003-01	0x25d00
Diagonal Between Away Medium	02-04-003-02	0x25e00
Diagonal Between Away Large	02-04-003-03	0x25f00
Diagonal Between Away Largest	02-04-003-04	0x26000
Diagonal Between Towards Small	02-04-004-01	0x26100
Diagonal Between Towards Medium	02-04-004-02	0x26200
Diagonal Between Towards Large	02-04-004-03	0x26300
Diagonal Between Towards Largest	02-04-004-04	0x26400
Single Straight Movement, Floor Plane Small	02-05-001-01	0x26500
Single Straight Movement, Floor Plane Medium	02-05-001-02	0x26600
Single Straight Movement, Floor Plane Large	02-05-001-03	0x26700
Single Straight Movement, Floor Plane Largest	02-05-001-04	0x26800
Single Wrist Flex, Floor Plane	02-05-001-05	0x26900
Double Straight Movement, Floor Plane	02-05-002-01	0x26a00
Double Wrist Flex, Floor Plane	02-05-002-02	0x26b00
Double Alternating Movement, Floor Plane	02-05-003-01	0x26c00
Double Alternating Wrist Flex, Floor Plane	02-05-003-02	0x26d00
Cross Movement, Floor Plane	02-05-004-01	0x26e00
Triple Straight Movement, Floor Plane	02-05-005-01	0x26f00
Triple Wrist Flex, Floor Plane	02-05-005-02	0x27000
Triple Alternating Movement, Floor Plane	02-05-006-01	0x27100
Triple Alternating Wrist Flex, Floor Plane	02-05-006-02	0x27200
Bend, Floor Plane	02-05-007-01	0x27300
Corner, Floor Plane Small	02-05-008-01	0x27400
Corner, Floor Plane Medium	02-05-008-02	0x27500
Corner, Floor Plane Large	02-05-008-03	0x27600
Check, Floor Plane	02-05-009-01	0x27700
Box, Floor Plane Small	02-05-010-01	0x27800
Box, Floor Plane Medium	02-05-010-02	0x27900
Box, Floor Plane Large	02-05-010-03	0x27a00
Zigzag, Floor Plane Small	02-05-011-01	0x27b00
Zigzag, Floor Plane Medium	02-05-011-02	0x27c00
Zigzag, Floor Plane Large	02-05-011-03	0x27d00
Peaks, Floor Plane Small	02-05-012-01	0x27e00
Peaks, Floor Plane Medium	02-05-012-02	0x27f00
Peaks, Floor Plane Large	02-05-012-03	0x28000
Travel Rotation Single Floor Plane	02-05-013-01	0x28100
Travel Rotation Double Floor Plane	02-05-014-01	0x28200
Travel Rotation Alternating Floor Plane	02-05-015-01	0x28300
Travel Rotation Single Wall Plane	02-05-016-01	0x28400
Travel Rotation Double Wall Plane	02-05-017-01	0x28500
Travel Rotation Alternating Wall Plane	02-05-018-01	0x28600
Travel Shaking Floor Plane	02-05-019-01	0x28700
Curve Wall Plane, Quarter Small	02-06-001-01	0x28800
Curve Wall Plane, Quarter Medium	02-06-001-02	0x28900
Curve Wall Plane, Quarter Large	02-06-001-03	0x28a00
Curve Wall Plane, Quarter Largest	02-06-001-04	0x28b00
Curve Wall Plane, Half Circle Small	02-06-002-01	0x28c00
Curve Wall Plane, Half Circle Medium	02-06-002-02	0x28d00
Curve Wall Plane, Half Circle Large	02-06-002-03	0x28e00
Curve Wall Plane, Half Circle Largest	02-06-002-04	0x28f00
Curve Wall Plane, 3 Quarter Circle Small	02-06-003-01	0x29000
Curve Wall Plane, 3 Quarter Circle Medium	02-06-003-02	0x29100
Hump Wall Plane Small	02-06-004-01	0x29200
Hump Wall Plane Medium	02-06-004-02	0x29300
Hump Wall Plane Large	02-06-004-03	0x29400
Loop Wall Plane Small	02-06-005-01	0x29500
Loop Wall Plane Medium	02-06-005-02	0x29600
Loop Wall Plane Large	02-06-005-03	0x29700
Loop Wall Plane Small Double	02-06-005-04	0x29800
Wave Wall Plane 2 Curves Small	02-06-006-01	0x29900
Wave Wall Plane 2 Curves Medium	02-06-006-02	0x29a00
Wave Wall Plane 2 Curves Large	02-06-006-03	0x29b00
Wave Wall Plane 3 Curves Small	02-06-006-04	0x29c00
Wave Wall Plane 3 Curves Medium	02-06-006-05	0x29d00
Wave Wall Plane 3 Curves Large	02-06-006-06	0x29e00
Curve Then Straight Movement Wall Plane	02-06-007-01	0x29f00
Curved Cross Movement Wall Small	02-06-007-02	0x2a000
Curved Cross Movement Wall Medium	02-06-007-03	0x2a100
Rotation Single Wall Plane	02-06-008-01	0x2a200
Rotation Double Wall Plane	02-06-009-01	0x2a300
Rotation Alternate Wall Plane	02-06-010-01	0x2a400
Shaking Wall Plane	02-06-011-01	0x2a500
Curve Hits Front Wall	02-07-001-01	0x2a600
Hump Hits Front Wall	02-07-002-01	0x2a700
Loop Hits Front Wall	02-07-003-01	0x2a800
Wave Hits Front Wall	02-07-004-01	0x2a900
Rotation Single Hits Front Wall	02-07-005-01	0x2aa00
Rotation Double Hits Front Wall	02-07-006-01	0x2ab00
Rotation Alternating Hits Front Wall	02-07-007-01	0x2ac00
Curve Hits Chest	02-07-009-01	0x2ad00
Hump Hits Chest	02-07-010-01	0x2ae00
Loop Hits Chest	02-07-011-01	0x2af00
Wave Hits Chest	02-07-012-01	0x2b000
Rotation Single Hits Chest	02-07-013-01	0x2b100
Rotation Double Hits Chest	02-07-014-01	0x2b200
Rotation Alternating Hits Chest	02-07-015-01	0x2b300
Wave Diagonal Path Small	02-07-016-01	0x2b400
Wave Diagonal Path Medium	02-07-016-02	0x2b500
Wave Diagonal Path Large	02-07-016-03	0x2b600
Curve Hits Ceiling Small	02-08-001-01	0x2b700
Curve Hits Ceiling Large	02-08-001-02	0x2b800
Hump Hits Ceiling 2 Humps Small	02-08-002-01	0x2b900
